name,address,place_id,formatted_address,place_types,location,cuisines,rating,rating_count,cost_for_two,source
Shree Mahalakshmi Sweets,"Shree Mahalakshmi Sweets, NO.1035, 9TH CROSS, 24TH MAIN, HSR LAYOUT, 1ST SECTOR, BANGALORE",ChIJKa-n4cIVrjsR7WCAg065XWw,"1035, 9th Cross Rd, 24TH MAIN, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['confectionery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",HSR,"Sweets,Snacks",3.9,100.0,200.0,Swiggy
Puliyogare Palace,"Puliyogare Palace, No 19/7, 2nd Cross, Venkatapura Main Road, Koramanagala Bangalore B.B.M.P South, Karnataka-560034",Em8xOSwgMm5kIENyb3NzIFJkLCBKYWtrYXNhbmRyYSwgMXN0IEJsb2NrIEtvcmFtYW5nYWxhLCBIU1IgTGF5b3V0IDV0aCBTZWN0b3IsIEJlbmdhbHVydSwgS2FybmF0YWthIDU2MDAzNCwgSW5kaWEiMBIuChQKEgkrVgRxihSuOxFpVk7GRR0AahATKhQKEgk3L0nMWhSuOxECbugB-sE1nQ,"19, 2nd Cross Rd, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India",['street_address'],HSR,"South Indian,Desserts",4.0,50.0,200.0,Swiggy
Panda Momos,"Panda Momos, Sy No. 545/15, Opp ICICI Bank, Hosur Main Road, Bommanahalli, popular Colony, Mangammanapalya,, Bangalore South, Bangalore Urban, , Karnataka, 560068",ChIJTZ1PEEU_rjsRmuRnmyOWzWA,"XG63+MRQ, Balagangadhar Nagar, 2 Stage, Mallathahalli, Bengaluru, Karnataka 560056, India","['chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Asian,Tibetan",3.9,50.0,200.0,Swiggy
Punjabi Dhaba,"Punjabi Dhaba, No 14,Ground Floor,24th main Agara Hsr layout Bengaluru",ChIJBSjRV0YVrjsRfLJC-GIHtz4,"15, 4th Cross Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Chinese",3.9,100.0,350.0,Swiggy
Pasta Palace,"Pasta Palace,  32, K-1348/108/34, Haralukunte, Parangipalya 25, Mahadevapura, BBMP East, HSR, Bangalore",ChIJEfXy3cIVrjsRFKH0ilntLN4,"Ground floor, 751, 80 Feet Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India","['italian_restaurant', 'wine_bar', 'pizza_restaurant', 'dessert_restaurant', 'bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Continental,Pastas",4.3,20.0,250.0,Swiggy
Natural Ice Cream,"Natural Ice Cream, KAMATHS NATURAL RETAIL PVT LTD, 1669/A, 14th main, 7th Sector, HSR Layout, Bangalore- 560102",ChIJg2D20lcVrjsRXlJQo-f5bIM,"Shop No, 1669/A, 14th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['ice_cream_shop', 'dessert_shop', 'confectionery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",HSR,Ice Cream,4.7,500.0,150.0,Swiggy
Davanagere Benne Dose (HSR),"Davanagere Benne Dose (HSR), No 1131 17th Cross Sector 7 HSR Layout Bangalore 560102. Next to Vasan eye care opposite to Trends",ChIJ8XTDTqAVrjsRtxiM69x_u_I,"No 1131 17th Cross sector 7 HSR Layout Next to Vasan eye care and opp to, TRENDS, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India","['indian_restaurant', 'vegetarian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,South Indian,4.2,100.0,100.0,Swiggy
Pabrai's Fresh and Naturelle Ice Creams,"Pabrai's Fresh and Naturelle Ice Creams, 964, MR Complex, 27th Main Road, Sector 1, HSR Layout, HSR, Bangalore",ChIJQc89iIEUrjsRzXqiA-8G6XQ,"No 964, 965, M.R. Complex, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['ice_cream_shop', 'dessert_shop', 'confectionery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",HSR,"Desserts,Ice Cream",4.4,50.0,180.0,Swiggy
Bombay Brasserie,"Bombay Brasserie, 1/120, 14th Main Road, 5th Sector, HSR Layout, HSR, Bangalore 560102",ChIJMYkqlG4VrjsRO01pd9P1Z6k,"1/120, 14th Main Rd, Sector 5, 1st Sector, HSR Layout, Bengaluru, Karnataka 560087, India","['restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Biryani",4.1,20.0,900.0,Swiggy
Sri Dalma,"Sri Dalma, NO 7 24th main HSR layout 560102",ChIJ14knhIAUrjsRUJnQ1prclm0,"WMF2+J5X, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"North Indian,Oriya",4.1,100.0,300.0,Swiggy
Sector 7 Cafe,"Sector 7 Cafe, #1136, First floor, Sector 7, HSR Layout, Bangalore",ChIJ7YISfpIUrjsRkzodsXaiFvE,"1136, 17th Cross Rd, Muneswara Nagar, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India","['cafe', 'food', 'point_of_interest', 'establishment']",HSR,"Continental,American",4.1,100.0,600.0,Swiggy
HALA LEBENESE CUISINE,"HALA LEBENESE CUISINE, No.22, Khatha No.31/3, 2nd Cross, Vinayaka Nagara, Roopena Agrahara, Bangalore, Karnataka-560068",ChIJjW2W4uQVrjsROt5o97PwEEo,"8, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560068, India","['lebanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",HSR,"Lebanese,Arabian",2.6,100.0,200.0,Swiggy
