name,address,location,cuisines,rating,rating_count,cost_for_two,source
Kanti Sweets,"Kanti Sweets, Kanti Sweets  # 82/8, HMT Main Road, Gokula 1st Stage, Mathikere, Bengaluru 560054",Yeshwanthpur,Sweets,4.3,100.0,150.0,Swiggy
M GRILL,"M GRILL, No 2/1 Cross, MSR college Road, Mathikere, bangalore , yeswanthapura, Karantaka - 560054",Yeshwanthpur,"Grill,Tandoor",4.0,20.0,300.0,Swiggy
Cafe Coffee Day,"Cafe Coffee Day, Cafe Coffee day.Hpcl Petrol bunk peenya.Hpcl petrol bunk peenya Bangalore.",Yeshwanthpur,"Beverages,Snacks",4.1,50.0,300.0,Swiggy
Mamma Rotti Family Restaurant,"Mamma Rotti Family Restaurant, No 10, MES Road, Jalahalli, Bangalore - 560013",Yeshwanthpur,"North Indian,Chinese",3.7,20.0,400.0,Swiggy
The Dessert Zone,"The Dessert Zone, No 63,1ST FLOOR, ABOVE KINGS BOOT, 4TH MAIN ROAD, MATHIKERE, BENGALURU",Yeshwanthpur,"Bakery,Desserts",4.0,50.0,200.0,Swiggy
7 star Ambur Dum Biriyani,"7 star Ambur Dum Biriyani, EVEREST PALACE NO 5/4 4TH CROSS MSR ROAD",Yeshwanthpur,Biryani,3.6,100.0,250.0,Swiggy
Athiti Grand,"Athiti Grand,  No - 45/9, ullas theater,marapanapalya, Yeshwantpur, Bengaluru - 560022  Karnataka, India",Yeshwanthpur,"Indian,North Indian",4.0,50.0,200.0,Swiggy
Malgudi's Donne Biriyani.,"Malgudi's Donne Biriyani., 1st Main road, Gokula, 1st Stage,Bombay dyeing road, Mathikere (opp. Amma's Pastries)",Yeshwanthpur,Biryani,4.2,500.0,300.0,Swiggy
Canteen Central by Eatfit,"Canteen Central by Eatfit, 1st Floor,State Bank of India, Mathikere, MS Ramaiah Rd, Gokula 1st Stage, HMT Layout, Mathikere, Bengaluru, Karnataka 560054",Yeshwanthpur,"Pizzas,American",4.1,50.0,350.0,Swiggy
Hokart - Sri Annapoorna Sweets And Condiments,"Hokart - Sri Annapoorna Sweets And Condiments, SP Complex, Kamla Nehru. Extension, Yeswanthpur, Bengaluru, Karnataka 560022, India",Yeshwanthpur,"Fast Food,Street Food",4.0,20.0,99.0,Swiggy
